Municipality,Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Address,Facility Name,Historical Information,Url,Categories
Mornington Peninsula Shire Council,"Balnarring Recreation Reserve,",Balnarring,-38.3624,145.11715,Australian Rules Football,1.0,Grass,3. Average,Male,95 Balnarring Road Balnarring 3926,,,,"['Mornington Peninsula Shire Council', 'Balnarring', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Barber Reserve,Somerville,-38.226772,145.184492,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",27 Sullivan Drive Somerville 3912,,,,"['Mornington Peninsula Shire Council', 'Somerville', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Boneo Recreation Reserve,Boneo,-38.412074,144.886002,Australian Rules Football,1.0,Grass,3. Average,Unisex,570 Boneo Road Boneo 3939,,,,"['Mornington Peninsula Shire Council', 'Boneo', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Bunguyan Reserve,Tyabb,-38.25739,145.195998,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",1475 Frankston-Flinders Road Tyabb 3913,,,,"['Mornington Peninsula Shire Council', 'Tyabb', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Citation Reserve,Mount Martha,-38.262592,145.03368900000000,Australian Rules Football,2.0,Grass,2. Poor,Male,515 Nepean Hwy Mount Martha 3934,,,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Crib Point Reserve,Crib Point,-38.359316,145.20420900000000,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",64 Governors Road Crib Point 3919,,,,"['Mornington Peninsula Shire Council', 'Crib Point', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Dallas Brooks Park,Mornington,-38.233584,145.054626,Australian Rules Football,1.0,Grass,3. Average,Unisex,85 Mornington-Tyabb Road Mornington 3931,,,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Football']"
Mornington Peninsula Shire Council,David MacFarlan Reserve,Sorrento,-38.33736500000000,144.736726,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",860 Melbourne Road Sorrento 3943,,,,"['Mornington Peninsula Shire Council', 'Sorrento', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Dromana Recreation Reserve,Dromana,-38.334651,144.968356,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",47 Pier Street Dromana 3936,,,,"['Mornington Peninsula Shire Council', 'Dromana', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Emil Madsen Reserve,Mount Eliza,-38.217713,145.097133,Australian Rules Football,3.0,Grass,3. Average,"Male, Umpire/Officials",261 Wooralla Drive Mount Eliza 3930,,,,"['Mornington Peninsula Shire Council', 'Mount Eliza', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Fruit Growers Reserve,Sommerville,-38.225505,145.17381800000000,Australian Rules Football,1.0,Grass,1. Very Poor,,328 Jones Road Sommerville 3912,,,,"['Mornington Peninsula Shire Council', 'Sommerville', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Hastings Park,Hastings,-38.296852,145.18750500000000,Australian Rules Football,2.0,Grass,3. Average,"Male, Umpire/Officials",159 Marine Parade Hastings 3915,,,,"['Mornington Peninsula Shire Council', 'Hastings', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Moorooduc Recreation Reserve,Moorooduc,-38.256408,145.10394,Australian Rules Football,1.0,Grass,4. Good,Unisex,700 Derril Road Moorooduc 3933,,,,"['Mornington Peninsula Shire Council', 'Moorooduc', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Olympic Park Reserve,Rosebud,-38.369821,144.894599,Australian Rules Football,2.0,Grass,2. Poor,"Female, Male, Umpire/Officials",193 East Bourne Road Rosebud 3939,,,,"['Mornington Peninsula Shire Council', 'Rosebud', 'Sports', 'Football']"
Mornington Peninsula Shire Council,Red Hill Recreation Reserve,Red Hill,-38.368378,145.012791,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",184 Arthurs Seat Road Red Hill 3937,,,,"['Mornington Peninsula Shire Council', 'Red Hill', 'Sports', 'Football']"
Mornington Peninsula Shire Council,RJ Rowley Recreation Reserve,Rye,-38.373214,144.812217,Australian Rules Football,1.0,Grass,3. Average,"Male, Umpire/Officials",20 Melbourne Road Rye 3941,,,,"['Mornington Peninsula Shire Council', 'Rye', 'Sports', 'Football']"
Mornington Peninsula Shire Council,David Collins Leisure Centre,Mornington,-38.237161,145.052227,Badminton,2.0,Wooden Flooring,3. Average,"Female, Male",350 Dunns Road Mornington 3931,,,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Badminton']"
Mornington Peninsula Shire Council,Sommerville Recreation & Community Centre,Sommerville,-38.225158,145.172387,Badminton,2.0,Wooden Gymnasium,3. Average,"Female, Male",14 Edward Street Sommerville 3912,,,,"['Mornington Peninsula Shire Council', 'Sommerville', 'Sports', 'Badminton']"
Mornington Peninsula Shire Council,CB Wilson Reserve,Mornington,-38.226527,145.036023,Baseball,2.0,Grass,3. Average,Unisex,35 Wilsons Road Mornington 3931,,,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Baseball']"
Mornington Peninsula Shire Council,Tyabb Central Reserve,Tyabb,-38.262193,145.188857,Baseball,1.0,Grass,,,1562 Frankston-Flinders Road Tyabb 3913,,,,"['Mornington Peninsula Shire Council', 'Tyabb', 'Sports', 'Baseball']"
Mornington Peninsula Shire Council,Bittern Memorial Centre,Bittern,-38.340223,145.168447,Basketball,1.0,Wooden Gymnasium,4. Good,"Female, Male, Umpire/Officials",101 Hendersons Road Bittern 3918,,,,"['Mornington Peninsula Shire Council', 'Bittern', 'Sports', 'Basketball']"
Mornington Peninsula Shire Council,Hastings Community Hub (Fitness & Leisure Centre),Hastings,-38.297198,145.184966,Basketball,1.0,Wooden Gymnasium,5. Very Good,"Female, Male",1973 Frankston-Flinders Road Hastings 3915,,,,"['Mornington Peninsula Shire Council', 'Hastings', 'Sports', 'Basketball']"
Mornington Peninsula Shire Council,AR & F Ditterich Reserve,Main Ridge,-38.400078,144.969324,Cricket,1.0,Synthetic Pitch,4. Good,Male,431 Main Creek Road Main Ridge 3928,,,,"['Mornington Peninsula Shire Council', 'Main Ridge', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,Mace Oval,Mount Martha,-38.271031,145.033831,Cricket,1.0,Synthetic Pitch,4. Good,,18 Tal Tals Cresent Mount Martha 3934,,,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,Portsea Recreation Reserve (Percy Cerutty Oval),Portsea,-38.32502,144.71248900000000,Cricket,1.0,Synthetic Pitch,3. Average,,33 Blair Road Portsea 3944,,,,"['Mornington Peninsula Shire Council', 'Portsea', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,RM Hooper Reserve,Tuerong,-38.285802,145.137843,Cricket,1.0,Synthetic Pitch,2. Poor,Male,111 Graydens Road Tuerong 3933,,,,"['Mornington Peninsula Shire Council', 'Tuerong', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,RW Stone Reserve,Somers,-38.389761,145.16358800000000,Cricket,1.0,Synthetic Pitch,4. Good,,68 Camp Hill Road Somers 3927,,,,"['Mornington Peninsula Shire Council', 'Somers', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,Stringer Road Reserve,Blairgowrie,-38.36202700000000,144.764383,Cricket,1.0,Synthetic Pitch,3. Average,,464 Melbourne Road Blairgowrie 3942,,,,"['Mornington Peninsula Shire Council', 'Blairgowrie', 'Sports', 'Cricket']"
Mornington Peninsula Shire Council,Bembridge Golf Course,Pearcedale,-38.225394,145.239178,Golf,1.0,9 Hole Course - Public,,,Tyabb-Tooradin Road Pearcedale 3912,,,,"['Mornington Peninsula Shire Council', 'Pearcedale', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Cape Schank Golf Course,Cape Schanck,-38.466181,144.894454,Golf,1.0,18 Hole Course - Private,,,28-30 Trent Jones Drive Cape Schanck 3939,,,,"['Mornington Peninsula Shire Council', 'Cape Schanck', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Devil Bend Golf Course,Moorooduc,-38.272083,145.111635,Golf,1.0,18 Hole Course - Public,,,48 Loders Road Moorooduc 3933,,,,"['Mornington Peninsula Shire Council', 'Moorooduc', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Eagle Ridge Golf Course,Boneo,-38.399913,144.870072,Golf,1.0,,,,215 Browns Road Boneo 3939,,,,"['Mornington Peninsula Shire Council', 'Boneo', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Flinders Golf Course,Flinders,-38.478858,145.021633,Golf,1.0,18 Hole Course - Public,,,1 Bass Street Flinders 3929,,,,"['Mornington Peninsula Shire Council', 'Flinders', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,HMAS Cerberus Golf Course,Crib Point,-38.370817,145.207759,Golf,1.0,9 Hole Course - Public,,,1 Cook Road Crib Point 3919,,,,"['Mornington Peninsula Shire Council', 'Crib Point', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Mornington Country Golf Club,Mornington,-38.211665,145.05908300000000,Golf,1.0,18 Hole Course - Private,,,Tallis Drive Mornington 3931,,,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Mount Martha Municipal Gollf Course,Mount Martha,-38.288076,145.02428,Golf,1.0,18 Hole Course - Public,4. Good,"Female, Male",Forest Drive Mount Martha 3934,,,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Portsea Golf Course,Portsea,-38.320504,144.70691200000000,Golf,1.0,18 Hole Course - Public,,,1 Relph Avenue Portsea 3944,,,,"['Mornington Peninsula Shire Council', 'Portsea', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Rosebud Country Golf Course,Rosebud,-38.379099,144.898394,Golf,1.0,,,,Tom Maw Memorial Drive Rosebud 3939,,,,"['Mornington Peninsula Shire Council', 'Rosebud', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Safety Beach Golf Club (mt Martha Country Club),Safety Beach,-38.322062,144.996744,Golf,1.0,18 Hole Course - Private,,,Country Club Drive Safety Beach 3934,,,,"['Mornington Peninsula Shire Council', 'Safety Beach', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,Sorrento Golf Club,Sorrento,-38.32924000000000,144.734897,Golf,1.0,18 Hole Course - Public,,,Langford Road Sorrento 3943,,,,"['Mornington Peninsula Shire Council', 'Sorrento', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,St Andrews Golf Club,St Andrews Beach,-38.421275,144.852359,Golf,1.0,,,,Sandy Road St Andrews Beach 3941,,,,"['Mornington Peninsula Shire Council', 'St Andrews Beach', 'Sports', 'Golf']"
Mornington Peninsula Shire Council,HMAS Cerberus,Hmas Cerberus,-38.363836,145.18794,Hockey,2.0,Grass,,,Cook Road Hmas Cerberus 3920,,,,"['Mornington Peninsula Shire Council', 'Hmas Cerberus', 'Sports', 'Hockey']"
Mornington Peninsula Shire Council,Dromana Tennis & Netball (Sports & Fitness Centre),Dromana,-38.336802,144.970217,Netball,4.0,Asphalt,3. Average,,10 Marna Street Dromana 3936,,,,"['Mornington Peninsula Shire Council', 'Dromana', 'Sports', 'Netball']"
Mornington Peninsula Shire Council,Peninsula Pistol Club,Mount Martha,-38.263936,145.035323,Shooting Sports,,,,,Nepean Highway Mount Martha 3934,,,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Shooting']"
Mornington Peninsula Shire Council,Monington Tennis Centre,Mornington,-38.236857,145.052327,Tennis (Outdoor),12.0,Clay,5. Very Good,"Female, Male",100 Mornington-Tyabb Road Mornington 3931,,,,"['Mornington Peninsula Shire Council', 'Mornington', 'Sports', 'Tennis']"
Mornington Peninsula Shire Council,Mount Martha Tennis Club,Mount Martha,-38.270166,145.010458,Tennis (Outdoor),4.0,Artificial Turf,2. Poor,,Kilburn Grove Mount Martha 3934,,,,"['Mornington Peninsula Shire Council', 'Mount Martha', 'Sports', 'Tennis']"
Mornington Peninsula Shire Council,Shoreham Tennis Club,Shoreham,-38.428202,145.045257,Tennis (Outdoor),4.0,Artificial Turf,3. Average,Unisex,1 Steen Avenue Shoreham 3916,,,,"['Mornington Peninsula Shire Council', 'Shoreham', 'Sports', 'Tennis']"
Mornington Peninsula Shire Council,Vern Wright Reserve,Rosebud West,-38.373318,144.869976,Tennis (Outdoor),4.0,Artificial Turf,2. Poor,,20 Eliza Street Rosebud West 3940,,,,"['Mornington Peninsula Shire Council', 'Rosebud West', 'Sports', 'Tennis']"
Boroondara City Council,Anderson Park,Hawthorn East,-37.839707,145.04861700000000,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",7 Anderson Street Hawthorn East 3123,,,,"['Boroondara City Council', 'Hawthorn East', 'Sports', 'Football']"
Boroondara City Council,Balwyn Park,Balwyn,-37.814139,145.078117,Australian Rules Football,2.0,Grass,3. Average,"Umpire/Officials, Unisex",4 Cherry Road Balwyn 3103,,,,"['Boroondara City Council', 'Balwyn', 'Sports', 'Football']"
Boroondara City Council,Burwood Reserve,Burwood,-37.854181,145.093232,Australian Rules Football,2.0,Grass,3. Average,"Umpire/Officials, Unisex",282 Warrigal Road Burwood 3125,,,,"['Boroondara City Council', 'Burwood', 'Sports', 'Football']"
Boroondara City Council,Camberwell Sports Ground,Camberwell,-37.837923,145.062361,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",420 Camberwell Road Camberwell 3124,,,,"['Boroondara City Council', 'Camberwell', 'Sports', 'Football']"
Boroondara City Council,Canterbury Sports Ground,Surrey Hills,-37.822223,145.088271,Australian Rules Football,1.0,Grass,5. Very Good,"Umpire/Officials, Unisex",25 Croydon Road Surrey Hills 3127,,,,"['Boroondara City Council', 'Surrey Hills', 'Sports', 'Football']"
Boroondara City Council,Ferndale Park,Glen Iris,-37.853075,145.06835900000000,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",100 Glen Iris Road Glen Iris 3146,,,,"['Boroondara City Council', 'Glen Iris', 'Sports', 'Football']"
Boroondara City Council,Glenferrie Sportsground,Hawthorn,-37.820748,145.032525,Australian Rules Football,1.0,Grass,1. Very Poor,,34 Linda Crescent Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Football']"
Boroondara City Council,Gordon Barnard Reserve,Balwyn North,-37.801015,145.085669,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",230 Balwyn Road Balwyn North 3104,,,,"['Boroondara City Council', 'Balwyn North', 'Sports', 'Football']"
Boroondara City Council,Victoria Park,Kew,-37.802717,145.047314,Australian Rules Football,2.0,Grass,5. Very Good,"Umpire/Officials, Unisex",490 High Street Kew 3101,,,,"['Boroondara City Council', 'Kew', 'Sports', 'Football']"
Boroondara City Council,Watson Park,Ashburton,-37.86949600000000,145.074431,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",58 Munro Street Ashburton 3147,,,,"['Boroondara City Council', 'Ashburton', 'Sports', 'Football']"
Boroondara City Council,Myrtle Park,Balwyn North,-37.7995,145.071152,Baseball,2.0,Grass,3. Average,Male,101 Belmore Road Balwyn North 3104,,,,"['Boroondara City Council', 'Balwyn North', 'Sports', 'Baseball']"
Boroondara City Council,Ashburton Park,Ashburton,-37.863211,145.087068,Cricket,1.0,Turf Pitch,4. Good,"Female, Male, Umpire/Officials",339 High Street Ashburton 3147,,,,"['Boroondara City Council', 'Ashburton', 'Sports', 'Cricket']"
Boroondara City Council,Cooper Reserve,Burwood,-37.839923,145.096056,Cricket,1.0,Synthetic Pitch,,,138 Warrigal Road Burwood 3125,,,,"['Boroondara City Council', 'Burwood', 'Sports', 'Cricket']"
Boroondara City Council,Deepdene Park,Balwyn,-37.812824,145.067802,Cricket,1.0,Turf Pitch,3. Average,"Umpire/Officials, Unisex",118 Whitehorse Road Balwyn 3103,,,,"['Boroondara City Council', 'Balwyn', 'Sports', 'Cricket']"
Boroondara City Council,Dorothy Laver Reserve,Glen Iris,-37.865795,145.063389,Cricket,3.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",22 Dunlop Street Glen Iris 3146,,,,"['Boroondara City Council', 'Glen Iris', 'Sports', 'Cricket']"
Boroondara City Council,Fairview Park,Hawthorn,-37.830015,145.028275,Cricket,2.0,Concrete Pitch,,,Fairview Street Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Cricket']"
Boroondara City Council,Frog Hollow Reserve,Camberwell,-37.837688,145.072328,Cricket,1.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",25 Fordham Avenue Camberwell 3124,,,,"['Boroondara City Council', 'Camberwell', 'Sports', 'Cricket']"
Boroondara City Council,Hislop Park,Balwyn North,-37.800121,145.08195700000000,Cricket,3.0,Synthetic Pitch,3. Average,"Female, Male, Umpire/Officials",209 Balwyn Road Balwyn North 3104,,,,"['Boroondara City Council', 'Balwyn North', 'Sports', 'Cricket']"
Boroondara City Council,Reservoir Reserve,Kew,-37.811389,145.058222,Cricket,1.0,Synthetic Pitch,,,Grange Road Kew 3101,,,,"['Boroondara City Council', 'Kew', 'Sports', 'Cricket']"
Boroondara City Council,Willsmere Reserve,Kew East,-37.789651,145.044497,Cricket,1.0,Concrete Pitch,3. Average,"Umpire/Officials, Unisex",27 Willow Grove Kew East 3102,,,,"['Boroondara City Council', 'Kew East', 'Sports', 'Cricket']"
Boroondara City Council,Freeway Golf Course,Balwyn North,-37.780748,145.073625,Golf,,18 Hole Course - Public,5. Very Good,"Female, Male",Columba Street Balwyn North 3104,,,,"['Boroondara City Council', 'Balwyn North', 'Sports', 'Golf']"
Boroondara City Council,Green Acres Golf Club,Kew East,-37.786522,145.047124,Golf,,18 Hole Course - Private,,,51 Elm Grove Kew East 3102,,,,"['Boroondara City Council', 'Kew East', 'Sports', 'Golf']"
Boroondara City Council,Hawthorn - Malvern Hockey Centre,Hawthorn,-37.839986,145.040868,Hockey,2.0,Artificial Turf,,,Auburn Road Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Hockey']"
Boroondara City Council,Matlock Reserve,Canterbury,-37.828345,145.072195,Hockey,1.0,Grass,3. Average,Unisex,Matlock Street Canterbury 3126,,,,"['Boroondara City Council', 'Canterbury', 'Sports', 'Hockey']"
Boroondara City Council,Club Hawthorn,Hawthorn,-37.823253,145.035002,Snooker / Billiards / Pool,2.0,,4. Good,"Female, Male",627 Glenferrie Road Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Snooker']"
Boroondara City Council,H.A. Smith Reserve,Hawthorn,-37.836571,145.03496300000000,Soccer,2.0,,1. Very Poor,"Umpire/Officials, Unisex",Reserve Road Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Soccer']"
Boroondara City Council,Boroondara Tennis Centre,Balwyn North,-37.779069,145.079937,Tennis (Outdoor),23.0,,5. Very Good,"Female, Male",Thompson Road Balwyn North 3104,,,,"['Boroondara City Council', 'Balwyn North', 'Sports', 'Tennis']"
Boroondara City Council,Hawthorn Tennis Club,Hawthorn,-37.825335,145.036114,Tennis (Outdoor),7.0,Clay,3. Average,"Female, Male",13 Swinburne Avenue Hawthorn 3122,,,,"['Boroondara City Council', 'Hawthorn', 'Sports', 'Tennis']"
Boroondara City Council,Kew East Catholic Tennis Club,Kew East,-37.791588,145.057029,Tennis (Outdoor),7.0,,,,Leason Street Kew East 3102,,,,"['Boroondara City Council', 'Kew East', 'Sports', 'Tennis']"
Monash City Council,Brentwood Reserve,Glen Waverley,-37.902519,145.17083800000000,Australian Rules Football,1.0,Grass,3. Average,Male,Maylands Cresent Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Football']"
Monash City Council,Columbia Park,Wheelers Hill,-37.914574,145.185575,Australian Rules Football,1.0,Grass,2. Poor,"Male, Umpire/Officials",Columbia Drive Wheelers Hill 3150,,,,"['Monash City Council', 'Wheelers Hill', 'Sports', 'Football']"
Monash City Council,Essex Heights Reserve,Ashwood,-37.863979,145.113732,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Outlook Road Ashwood 3147,,,,"['Monash City Council', 'Ashwood', 'Sports', 'Football']"
Monash City Council,Jordan Reserve,Chadstone,-37.877034,145.10822,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Huntingdale Road Chadstone 3148,,,,"['Monash City Council', 'Chadstone', 'Sports', 'Football']"
Monash City Council,Marshall Reserve,Huntingdale,-37.912047,145.138854,Australian Rules Football,1.0,Grass,,,Ring East Road Huntingdale 3166,,,,"['Monash City Council', 'Huntingdale', 'Sports', 'Football']"
Monash City Council,Mayfield Park,Oakleigh,-37.887179,145.115781,Australian Rules Football,1.0,Grass,3. Average,"Female, Male",Mayfield Drive Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Football']"
Monash City Council,Meade Reserve,Clayton,-37.922689,145.1162,Australian Rules Football,1.0,Grass,5. Very Good,"Male, Umpire/Officials",Haughton Road Clayton 3168,,,,"['Monash City Council', 'Clayton', 'Sports', 'Football']"
Monash City Council,Mt Waverley Reserve,Mt Waverley,-37.872672,145.135324,Australian Rules Football,1.0,Grass,4. Good,Unisex,Fleet Street Mt Waverley 3149,,,,"['Monash City Council', 'Mt Waverley', 'Sports', 'Football']"
Monash City Council,Waverley Park,Mulgrave,-37.925702,145.188673,Australian Rules Football,1.0,Grass,,,Stadium Circuit Mulgrave 3170,,,,"['Monash City Council', 'Mulgrave', 'Sports', 'Football']"
Monash City Council,Oakleigh Recreation Centre,Oakleigh,-37.893318,145.097143,Badminton,,Wooden Gymnasium,4. Good,Unisex,Park Road Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Badminton']"
Monash City Council,Gladeswood Reserve,Mulgrave,-37.93222100000000,145.199512,Baseball,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Maygrove Way Mulgrave 3170,,,,"['Monash City Council', 'Mulgrave', 'Sports', 'Baseball']"
Monash City Council,Monash University Baseball Club,Clayton,-37.91390300000000,145.139159,Baseball,1.0,Grass,,,Oval Road Clayton 3168,,,,"['Monash City Council', 'Clayton', 'Sports', 'Baseball']"
Monash City Council,Napier Park,Glen Waverley,-37.879258,145.189601,Baseball,4.0,Grass,3. Average,Unisex,High Street Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Baseball']"
Monash City Council,Scotchmans Run Reserve,Oakleigh,-37.893724,145.102808,Baseball,1.0,Grass,2. Poor,Male,Estelle Street Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Baseball']"
Monash City Council,Brandon Park Community Centre,Glen Waverley,-37.902145,145.16446500000000,Basketball,1.0,Wooden Gymnasium,4. Good,,649 Ferntree Gully Road Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Basketball']"
Monash City Council,Waverley Basketball Stadium,Chadstone,-37.876276,145.099839,Basketball,6.0,Wooden Gymnasium,4. Good,"Female, Male, Umpire/Officials",Power Avenue Chadstone 3148,,,,"['Monash City Council', 'Chadstone', 'Sports', 'Basketball']"
Monash City Council,Oakleigh Youth Club,Ashwood,-37.869427,145.109264,Boxing,1.0,,3. Average,,21 Electra Avenue Ashwood 3147,,,,"['Monash City Council', 'Ashwood', 'Sports', 'Boxing']"
Monash City Council,Ashwood College,Ashwood,-37.865999,145.106002,Cricket,1.0,Synthetic Pitch,1. Very Poor,"Male, Umpire/Officials",Cassina Avenue Ashwood 3147,,,,"['Monash City Council', 'Ashwood', 'Sports', 'Cricket']"
Monash City Council,Brandon Park Reserve,Wheelers Hill,-37.902145,145.16446500000000,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Ferntree Gully Road Wheelers Hill 3150,,,,"['Monash City Council', 'Wheelers Hill', 'Sports', 'Cricket']"
Monash City Council,Caloola Reserve,Oakleigh,-37.890316,145.09265,Cricket,2.0,Synthetic Pitch,1. Very Poor,Male,Atkinson Street Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Cricket']"
Monash City Council,Duerdin Street Reserve (School Site),Clayton,-37.909736,145.14805900000000,Cricket,1.0,Concrete Pitch,,,Duerdin Street Clayton 3168,,,,"['Monash City Council', 'Clayton', 'Sports', 'Cricket']"
Monash City Council,Freeway Reserve,Mulgrave,-37.917795,145.16694000000000,Cricket,2.0,Synthetic Pitch,3. Average,"Umpire/Officials, Unisex",Kernot Avenue Mulgrave 3170,,,,"['Monash City Council', 'Mulgrave', 'Sports', 'Cricket']"
Monash City Council,Glen Waverley North Reserve,Glen Waverley,-37.869663,145.160003,Cricket,1.0,Synthetic Pitch,5. Very Good,"Male, Umpire/Officials",Mulgrave Street Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Cricket']"
Monash City Council,Melbourne Sports Stadium,Notting Hill,-37.910013,145.143624,Cricket (Indoor),2.0,,,,13 Duerdin Street Notting Hill 3168,,,,"['Monash City Council', 'Notting Hill', 'Sports', 'Cricket']"
Monash City Council,Huntingdale Golf Club,Oakleigh,-37.918175,145.096754,Golf,1.0,18 Hole Course - Private,,,Huntingdale Road Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Golf']"
Monash City Council,Riversdale Golf Club,Mt Waverley,-37.871717,145.114569,Golf,1.0,18 Hole Course - Private,,,Huntingdale Road Mt Waverley 3149,,,,"['Monash City Council', 'Mt Waverley', 'Sports', 'Golf']"
Monash City Council,Waveley Golf Course,Glen Waverley,-37.88944,145.194504,Golf,1.0,18 Hole Course - Public,3. Average,"Female, Male",Waverley Road Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Golf']"
Monash City Council,Ashwood Reserve,Ashwood,-37.867863,145.100938,Hockey,1.0,Artificial Turf,4. Good,Unisex,Winbirra Parade Ashwood 3147,,,,"['Monash City Council', 'Ashwood', 'Sports', 'Hockey']"
Monash City Council,Huntingtower School,Mount Waverley,-37.875888,145.13863700000000,Hockey,1.0,Artificial Turf,,,77 Waimarie Drive Mount Waverley 3149,,,,"['Monash City Council', 'Mount Waverley', 'Sports', 'Hockey']"
Monash City Council,Monash University - Clayton,Clayton,-37.908959,145.137801,Hockey,1.0,Artificial Turf,,,Wellington Road Clayton 3168,,,,"['Monash City Council', 'Clayton', 'Sports', 'Hockey']"
Monash City Council,Waverley Park/ Netball Centre,Glen Waverley,-37.893788,145.193373,Netball,8.0,Asphalt,4. Good,,Waverley Road Glen Waverley 3150,,,,"['Monash City Council', 'Glen Waverley', 'Sports', 'Netball']"
Monash City Council,Gardiners Creek Reserve,Ashwood,-37.857309,145.101536,Soccer,3.0,Grass,4. Good,"Umpire/Officials, Unisex",Sixth Avenue Ashwood 3147,,,,"['Monash City Council', 'Ashwood', 'Sports', 'Soccer']"
Monash City Council,Jack Edwards Reserve,Oakleigh,-37.906336,145.09866200000000,Soccer,4.0,Grass,3. Average,"Male, Umpire/Officials",Parkside Avenue Oakleigh 3166,,,,"['Monash City Council', 'Oakleigh', 'Sports', 'Soccer']"
Monash City Council,Wheelers Hill Secondary College,Wheelers Hill,-37.910424,145.17992900000000,Soccer,2.0,Grass,,,Raphael Drive Wheelers Hill 3150,,,,"['Monash City Council', 'Wheelers Hill', 'Sports', 'Soccer']"
